image,prompt,path
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a apple,000007_apple.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a cake,000007_cake.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a cup,000007_cup.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a plate,000007_plate.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a vase,000007_vase.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a stool,000007_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a painting,000007_painting.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a lamp,000007_lamp.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a book,000007_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a bag,000007_bag.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a cushion,000007_cushion.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a shoes,000007_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a pencil,000007_pencil.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a cat,000007_cat.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000007.png,Add a computer,000007_computer.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a apple,000014_apple.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a cake,000014_cake.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a cup,000014_cup.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a plate,000014_plate.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a vase,000014_vase.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a stool,000014_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a painting,000014_painting.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a lamp,000014_lamp.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a book,000014_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a bag,000014_bag.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a cushion,000014_cushion.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a shoes,000014_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a pencil,000014_pencil.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a cat,000014_cat.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000014.png,Add a computer,000014_computer.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a apple,000056_apple.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a cup,000056_cup.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a plate,000056_plate.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a vase,000056_vase.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a stool,000056_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a painting,000056_painting.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a lamp,000056_lamp.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a book,000056_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a bag,000056_bag.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a cushion,000056_cushion.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a shoes,000056_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a pencil,000056_pencil.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000056.png,Add a cat,000056_cat.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000084.png,Add a stool,000084_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000084.png,Add a book,000084_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000084.png,Add a bag,000084_bag.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000084.png,Add a shoes,000084_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a apple,000091_apple.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a cake,000091_cake.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a cup,000091_cup.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a plate,000091_plate.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a vase,000091_vase.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a stool,000091_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a painting,000091_painting.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a lamp,000091_lamp.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a book,000091_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a shoes,000091_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a pencil,000091_pencil.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000091.png,Add a computer,000091_computer.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a cup,000098_cup.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a vase,000098_vase.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a stool,000098_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a book,000098_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a bag,000098_bag.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a shoes,000098_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a pencil,000098_pencil.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000098.png,Add a cat,000098_cat.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000105.png,Add a stool,000105_stool.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000105.png,Add a book,000105_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000105.png,Add a bag,000105_bag.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000105.png,Add a shoes,000105_shoes.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000105.png,Add a cat,000105_cat.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000112.png,Add a cup,000112_cup.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000112.png,Add a lamp,000112_lamp.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000112.png,Add a book,000112_book.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000112.png,Add a pencil,000112_pencil.png
https://raw.githubusercontent.com/asharma381/cs291I/main/backend/original_images/000112.png,Add a computer,000112_computer.png
